#bioname	bioname_parent	base	acid	base_parent	acid_parent	inconsistency	null	null	base_n	acid_n	base_parent_n	acid_parent_n	type_n
dolichyl beta-D-mannosyl phosphate	dolichyl D-mannosyl phosphate	CHEBI:58211	CHEBI:17624	CHEBI:57523	CHEBI:15809	left_incomplete	$null$	$null$	dolichyl beta-D-mannosyl phosphate(1-)	dolichyl beta-D-mannosyl phosphate	dolichyl D-mannosyl phosphate(1-)	dolichyl D-mannosyl phosphate	$null$
all-trans-5,6-epoxyretinoyl-1-O-(beta-D-glucuronate)	a beta-D-glucuronoside	CHEBI:139184	CHEBI:139558	CHEBI:83411	CHEBI:15341	left_incomplete	$null$	$null$	1-O-(5,6-epoxyretinoyl)-beta-D-glucuronate	1-O-(5,6-epoxyretinoyl)-beta-D-glucuronic acid	beta-D-glucosiduronate	beta-D-glucosiduronic acid	$null$
4-nitrobenzoate	an aromatic carboxylate	CHEBI:142863	CHEBI:262350	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	4-nitrobenzoate	4-nitrobenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
N-acyl-L-aspartate	an N-acyl-L-amino acid	CHEBI:58497	CHEBI:21647	CHEBI:59874	CHEBI:48927	left_incomplete	$null$	$null$	N-acyl-L-aspartate(2-)	N-acyl-L-aspartic acid	N-acyl-L-alpha-amino acid anion	N-acyl-L-alpha-amino acid	$null$
20-hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate	a hydroxy polyunsaturated fatty acid	CHEBI:76624	CHEBI:34306	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	20-HETE(1-)	20-HETE	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
17-hydroxy-(9Z,12Z)-octadecadienoate	a hydroxy polyunsaturated fatty acid	CHEBI:144041	CHEBI:145302	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	(9Z,12Z)-17-hydroxyoctadeca-9,12-dienoate	(9Z,12Z)-17-hydroxyoctadeca-9,12-dienoic acid	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
N(6)-methyl-AMP	a nucleoside 5'-phosphate	CHEBI:144842	CHEBI:40196	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	N(6)-methyl-AMP(2-)	N(6)-methyl-AMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
(9Z)-17-hydroxyoctadec-9-enoate 17-O-sophoroside	an (omega-1)-hydroxy fatty acid	CHEBI:144058	CHEBI:145469	CHEBI:84497	CHEBI:78954	left_incomplete	$null$	$null$	(9Z)-17-hydroxyoctadec-9-enoate 17-O-sophoroside	(9Z)-17-hydroxyoctadec-9-enoic acid 17-O-sophoroside	(omega-1)-hydroxy fatty acid anion	(omega-1)-hydroxy fatty acid	$null$
D-mannose 6-phosphate	D-hexose phosphate	CHEBI:58735	CHEBI:48066	CHEBI:140159	CHEBI:15965	left_incomplete	$null$	$null$	D-mannopyranose 6-phosphate(2-)	D-mannopyranose 6-phosphate	D-hexose phosphate(2-)	D-hexose phosphate	$null$
6-trans-leukotriene B4	a long-chain fatty acid	CHEBI:90723	CHEBI:63981	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	6-trans-leukotriene B4(1-)	6-trans-leukotriene B4	long-chain fatty acid anion	long-chain fatty acid	$null$
4-hydroxy-4-O-(beta-D-glucuronide)-all-trans-retinoate	a beta-D-glucuronoside	CHEBI:139182	CHEBI:84092	CHEBI:83411	CHEBI:15341	left_incomplete	$null$	$null$	4-(beta-D-glucopyranuronosyloxy)retinoate(2-)	4-(beta-D-glucopyranuronosyloxy)retinoic acid	beta-D-glucosiduronate	beta-D-glucosiduronic acid	$null$
6-trans-leukotriene B4	a hydroxy polyunsaturated fatty acid	CHEBI:90723	CHEBI:63981	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	6-trans-leukotriene B4(1-)	6-trans-leukotriene B4	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
2-methoxybenzoate	an aromatic carboxylate	CHEBI:59128	CHEBI:421840	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	O-methylsalicylate	O-methylsalicylic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
alpha-D-mannosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-di-trans,octa-cis-undecaprenyl diphosphate	a polyprenol phosphate	CHEBI:137168	CHEBI:138020	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	alpha-D-mannosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-1-diphospho-ditrans,polycis-undecaprenol(2-)	alpha-D-mannosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-1-diphospho-ditrans,polycis-undecaprenol	polyprenol phosphate anion	polyprenol phosphate	$null$
alpha-D-mannosyl-(1->3)-alpha-D-mannosyl-(1->3)-alpha-D-mannosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-di-trans,octa-cis-undecaprenyl diphosphate	a polyprenol phosphate	CHEBI:137169	CHEBI:138109	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	alpha-D-mannosyl-(1->3)-alpha-D-mannosyl-(1->3)-alpha-D-mannosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-1-diphospho-ditrans,polycis-undecaprenol(2-)	alpha-D-mannosyl-(1->3)-alpha-D-mannosyl-(1->3)-alpha-D-mannosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-1-diphospho-ditrans,polycis-undecaprenol	polyprenol phosphate anion	polyprenol phosphate	$null$
5-diphospho-1D-myo-inositol 1,3,4,6-tetrakisphosphate	a myo-inositol phosphate	CHEBI:142939	CHEBI:62928	CHEBI:84139	CHEBI:25448	left_incomplete	$null$	$null$	5-diphospho-1D-myo-inositol 1,3,4,6-tetrakisphosphate(11-)	5-diphospho-myo-inositol 1,3,4,6-tetrakisphosphate	myo-inositol phosphate(2-)	myo-inositol phosphate	$null$
5-methylorsellinate	an aromatic carboxylate	CHEBI:146172	CHEBI:146307	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	5-methylorsellinate	5-methylorsellinic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
N-malonylanthranilate	a monoamide of a dicarboxylate	CHEBI:16872	CHEBI:52430	CHEBI:77450	CHEBI:35735	left_incomplete	$null$	$null$	N-malonylanthranilate	N-malonylanthranilic acid	dicarboxylic acid monoamide(1-)	dicarboxylic acid monoamide	$null$
12-hydroxy-(5Z,8Z,10E,14Z,17Z)-eicosapentaenoate	a long-chain fatty acid	CHEBI:133303	CHEBI:72645	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	12-HEPE(1-)	12-HEPE	long-chain fatty acid anion	long-chain fatty acid	$null$
(2R,3S)-beta-methylmalyl-CoA	an acyl-CoA	CHEBI:75634	CHEBI:27855	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	L-erythro-3-methylmalyl-CoA(5-)	L-erythro-3-methylmalyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
2-methylfumaryl-CoA	an acyl-CoA	CHEBI:75635	CHEBI:27969	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	mesaconyl-CoA(5-)	mesaconyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
acetylsalicylate	an aromatic carboxylate	CHEBI:13719	CHEBI:15365	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	acetylsalicylate	acetylsalicylic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
4-hydroxy-3-methoxybenzoate	an aromatic carboxylate	CHEBI:16632	CHEBI:30816	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	vanillate	vanillic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
resolvin E2	a hydroxy polyunsaturated fatty acid	CHEBI:133368	CHEBI:81560	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	resolvin E2(1-)	resolvin E2	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
6-oxocyclohex-1-ene-1-carbonyl-CoA	a 3-oxo-fatty acyl-CoA	CHEBI:76526	CHEBI:28168	CHEBI:57347	CHEBI:15489	left_incomplete	$null$	$null$	6-oxocyclohex-1-ene-1-carbonyl-CoA(4-)	6-oxocyclohex-1-ene-1-carbonyl-CoA	3-oxo-fatty acyl-CoA(4-)	3-oxo-fatty acyl-CoA	$null$
staphyloferrin A	a carboxylate	CHEBI:142973	CHEBI:84711	CHEBI:29067	CHEBI:33575	left_incomplete	$null$	$null$	staphyloferrin A(5-)	staphyloferrin A	carboxylic acid anion	carboxylic acid	$null$
resolvin D2	a hydroxy polyunsaturated fatty acid	CHEBI:133367	CHEBI:81565	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	resolvin D2(1-)	resolvin D2	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
N-propanoylglycine	an N-acylglycine	CHEBI:132936	CHEBI:89836	CHEBI:57670	CHEBI:16180	left_incomplete	$null$	$null$	propionylglycinate	propionylglycine	N-acylglycinate	N-acylglycine	$null$
3-methoxybenzoate	an aromatic carboxylate	CHEBI:180538	CHEBI:88458	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3-methoxybenzoate	3-methoxybenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
CMP-N-acetyl-beta-neuraminate	a CMP-N-acyl-beta-neuraminate	CHEBI:57812	CHEBI:16556	CHEBI:68671	CHEBI:16788	left_incomplete	$null$	$null$	CMP-N-acetyl-beta-neuraminate(2-)	CMP-N-acetyl-beta-neuraminic acid	CMP-N-acyl-beta-neuraminate(2-)	CMP-N-acyl-beta-neuraminic acid	$null$
coproporphyrinogen I	a carboxylate	CHEBI:62631	CHEBI:28607	CHEBI:29067	CHEBI:33575	left_incomplete	$null$	$null$	coproporphyrinogen I(4-)	coproporphyrinogen I	carboxylic acid anion	carboxylic acid	$null$
6-oxocyclohex-1-ene-1-carbonyl-CoA	a fatty acyl-CoA	CHEBI:76526	CHEBI:28168	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	6-oxocyclohex-1-ene-1-carbonyl-CoA(4-)	6-oxocyclohex-1-ene-1-carbonyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
(5S,12R)-dihydroxy-(6Z,8E,10E,14Z)-eicosapentaenoate	a long-chain fatty acid	CHEBI:133302	CHEBI:88493	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	leukotriene B5(1-)	leukotriene B5	long-chain fatty acid anion	long-chain fatty acid	$null$
9-hydroxy-(5E,7E,11E,14E,17E)-eicosapentaenoate	a long-chain fatty acid	CHEBI:133307	CHEBI:89570	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	9-HEPE(1-)	9-HEPE	long-chain fatty acid anion	long-chain fatty acid	$null$
uroporphyrinogen I	a carboxylate	CHEBI:62626	CHEBI:28766	CHEBI:29067	CHEBI:33575	left_incomplete	$null$	$null$	uroporphyrinogen I(8-)	uroporphyrinogen I	carboxylic acid anion	carboxylic acid	$null$
crocetin	a fatty acid	CHEBI:62767	CHEBI:3918	CHEBI:28868	CHEBI:35366	left_incomplete	$null$	$null$	crocetin(2-)	crocetin	fatty acid anion	fatty acid	$null$
crocetin	a monocarboxylate	CHEBI:62767	CHEBI:3918	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	crocetin(2-)	crocetin	monocarboxylic acid anion	monocarboxylic acid	$null$
hexanedioyl-CoA	an acyl-CoA	CHEBI:76327	CHEBI:34528	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	adipoyl-CoA(5-)	adipoyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
N-acetyl-alpha-neuraminate	an N-acylneuraminate	CHEBI:58770	CHEBI:49026	CHEBI:60073	CHEBI:16498	left_incomplete	$null$	$null$	N-acetyl-alpha-neuraminate	N-acetyl-alpha-neuraminic acid	N-acylneuraminate	N-acylneuraminic acid	$null$
N-acetyl-alpha-neuraminate	N-acetylneuraminate	CHEBI:58770	CHEBI:49026	CHEBI:35418	CHEBI:17012	left_incomplete	$null$	$null$	N-acetyl-alpha-neuraminate	N-acetyl-alpha-neuraminic acid	N-acetylneuraminate	N-acetylneuraminic acid	$null$
4-O-[di(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate	a polyprenol phosphate	CHEBI:133867	CHEBI:136078	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	4-O-[di(2R)-1-glycerylphosphonato]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl undecaprenyl diphosphate(4-)	4-O-[di(2R)-1-glycerylphosphono]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl undecaprenyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
(3S)-hydroxy-3-methylglutaryl-CoA	an acyl-CoA	CHEBI:43074	CHEBI:15467	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	(3S)-3-hydroxy-3-methylglutaryl-CoA(5-)	(3S)-3-hydroxy-3-methylglutaryl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
(3S)-hydroxy-3-methylglutaryl-CoA	a 3-hydroxy-fatty acyl-CoA	CHEBI:43074	CHEBI:15467	CHEBI:65102	CHEBI:20060	left_incomplete	$null$	$null$	(3S)-3-hydroxy-3-methylglutaryl-CoA(5-)	(3S)-3-hydroxy-3-methylglutaryl-CoA	3-hydroxy fatty acyl-CoA(4-)	3-hydroxy fatty acyl-CoA	$null$
(3S)-hydroxy-3-methylglutaryl-CoA	omega-dicarboxyl-CoA	CHEBI:43074	CHEBI:15467	CHEBI:133241	CHEBI:37555	left_incomplete	$null$	$null$	(3S)-3-hydroxy-3-methylglutaryl-CoA(5-)	(3S)-3-hydroxy-3-methylglutaryl-CoA	omega-carboxyacyl-CoA(5-)	omega-carboxyacyl-CoA	$null$
(3S)-hydroxy-3-methylglutaryl-CoA	a fatty acyl-CoA	CHEBI:43074	CHEBI:15467	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	(3S)-3-hydroxy-3-methylglutaryl-CoA(5-)	(3S)-3-hydroxy-3-methylglutaryl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
4-O-[1-D-ribitylphospho-(2R)-1-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate	a polyprenol phosphate	CHEBI:133892	CHEBI:136396	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	4-O-[1-D-ribitylphosphonato-(2R)-1-glycerylphosphonato]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl ditrans,octacis-undecaprenyl diphosphate(4-)	4-O-[1-D-ribitylphosphono-(2R)-1-glycerylphosphono]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl ditrans,octacis-undecaprenyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
N-sulfo-D-glucosamine	a sulfamate	CHEBI:57868	CHEBI:16702	CHEBI:131822	CHEBI:35719	left_incomplete	$null$	$null$	N-sulfo-D-glucosamine(1-)	N-sulfo-D-glucosamine	sulfamate	sulfamic acids	$null$
a cardiolipin	a phosphatidylglycerol	CHEBI:62237	CHEBI:28494	CHEBI:60523	CHEBI:17517	left_incomplete	$null$	$null$	cardiolipin(2-)	cardiolipin	phosphatidylglycerol(1-)	phosphatidylglycerol	$null$
dIDP	a nucleoside 5'-phosphate	CHEBI:62286	CHEBI:28823	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	2'-deoxyinosine 5'-diphosphate(3-)	2'-deoxyinosine-5'-diphosphate	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
dIDP	a ribonucleoside 5'-diphosphate	CHEBI:62286	CHEBI:28823	CHEBI:57930	CHEBI:16862	left_incomplete	$null$	$null$	2'-deoxyinosine 5'-diphosphate(3-)	2'-deoxyinosine-5'-diphosphate	nucleoside 5'-diphosphate(3-)	nucleoside diphosphate	$null$
gibberellin A14	a monocarboxylate	CHEBI:143961	CHEBI:29588	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	gibberellin A14(2-)	gibberellin A14	monocarboxylic acid anion	monocarboxylic acid	$null$
an inositol phosphomannosylnositol-1-phospho-N-acylsphingoid base	an inositol-1-phosphoceramide	CHEBI:74997	CHEBI:61006	CHEBI:64916	CHEBI:60245	left_incomplete	$null$	$null$	mannosyl diphosphorylinositol ceramide(2-)	mannosyl diphosphorylinositol ceramide	inositol phosphoceramide(1-)	inositol phosphoceramide	$null$
dihydroxyfumarate	a 2-hydroxydicarboxylate	CHEBI:17795	CHEBI:4593	CHEBI:167114	CHEBI:50263	left_incomplete	$null$	$null$	dihydroxyfumarate(2-)	dihydroxyfumaric acid	2-hydroxydicarboxylate(2-)	2-hydroxydicarboxylic acid	$null$
quinaldate	an aromatic carboxylate	CHEBI:19775	CHEBI:18386	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	quinaldate	quinaldic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
succinyl-CoA	an acyl-CoA	CHEBI:57292	CHEBI:15380	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	succinyl-CoA(5-)	succinyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
3-O-methylgallate	an aromatic carboxylate	CHEBI:19950	CHEBI:28647	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3-O-methylgallate	3-O-methylgallic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
2-hydroxyoctadecanoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:74116	CHEBI:74138	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	2-hydroxystearoyl-CoA(4-)	2-hydroxystearoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
ddTTP	a ribonucleoside 5'-triphosphate	CHEBI:145466	CHEBI:41846	CHEBI:61557	CHEBI:17326	left_incomplete	$null$	$null$	ddTTP(4-)	ddTTP	nucleoside triphosphate(4-)	nucleoside triphosphate	$null$
(13R,14S)-dihydroxy-(4Z,7Z,9E,11E,16Z,19Z)-docosahexaenoate	a hydroxy polyunsaturated fatty acid	CHEBI:137442	CHEBI:138248	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	(13R,14S)-dihydroxy-(4Z,7Z,9E,11E,16Z,19Z)-docosahexaenoate	(13R,14S)-dihydroxy-(4Z,7Z,9E,11E,16Z,19Z)-docosahexaenoic acid	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
2'-phospho-cyclic ADP-ribose	kaempferol 7-O-beta-D-glucoside	CHEBI:75970	CHEBI:76081	CHEBI:169944	CHEBI:76081	left_incomplete	$null$	$null$	2'-phospho-cyclic ADP-ribose(3-)	2'-phospho-cyclic ADP-ribose	kaempferol 7-O-beta-D-glucoside(1-)	2'-phospho-cyclic ADP-ribose	$null$
ITP	a nucleoside 5'-phosphate	CHEBI:61402	CHEBI:16039	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	ITP(4-)	ITP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
isorhamnetin	a flavonol oxoanion	CHEBI:144055	CHEBI:6052	CHEBI:58588	CHEBI:28802	left_incomplete	$null$	$null$	isorhamnetin(1-)	isorhamnetin	flavonol oxoanion	flavonols	$null$
a (2R)-2-methylacyl-CoA	a fatty acyl-CoA	CHEBI:57313	CHEBI:15450	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	(2R)-2-methylacyl-CoA(4-)	(2R)-2-methylacyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
(2E)-2-methylpropenoyl-CoA	an acyl-CoA	CHEBI:62500	CHEBI:27754	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	methacrylyl-CoA(4-)	methacrylyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
(S)-malyl-CoA	a (3S)-3-hydroxyacyl-CoA	CHEBI:57317	CHEBI:15454	CHEBI:57318	CHEBI:15455	left_incomplete	$null$	$null$	(3S)-3-carboxy-3-hydroxypropanoyl-CoA(5-)	(3S)-3-carboxy-3-hydroxypropanoyl-CoA	(S)-3-hydroxyacyl-CoA(4-)	(S)-3-hydroxyacyl-CoA	$null$
(S)-malyl-CoA	an acyl-CoA	CHEBI:57317	CHEBI:15454	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	(3S)-3-carboxy-3-hydroxypropanoyl-CoA(5-)	(3S)-3-carboxy-3-hydroxypropanoyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
(3S)-citryl-CoA	a (3S)-3-hydroxyacyl-CoA	CHEBI:57321	CHEBI:15459	CHEBI:57318	CHEBI:15455	left_incomplete	$null$	$null$	(3S)-citryl-CoA(6-)	(3S)-citryl-CoA	(S)-3-hydroxyacyl-CoA(4-)	(S)-3-hydroxyacyl-CoA	$null$
(3S)-citryl-CoA	an acyl-CoA	CHEBI:57321	CHEBI:15459	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	(3S)-citryl-CoA(6-)	(3S)-citryl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
polycis-polyprenyl diphosphate	a polyprenol phosphate	CHEBI:83374	CHEBI:16663	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	all-cis-polyprenyl diphosphate(3-)	poly-cis-polyprenyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
(11Z)-tetradecenoyl-CoA	a long-chain fatty acyl-CoA	CHEBI:57323	CHEBI:15461	CHEBI:83139	CHEBI:33184	left_incomplete	$null$	$null$	cis-tetradec-11-enoyl-CoA(4-)	cis-tetradec-11-enoyl-CoA	long-chain fatty acyl-CoA(4-)	long-chain fatty acyl-CoA	$null$
(R)-methylmalonyl-CoA	an acyl-CoA	CHEBI:57326	CHEBI:15465	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	(R)-methylmalonyl-CoA(5-)	(R)-methylmalonyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
(R)-methylmalonyl-CoA	methylmalonyl-CoA	CHEBI:57326	CHEBI:15465	CHEBI:59916	CHEBI:16625	left_incomplete	$null$	$null$	(R)-methylmalonyl-CoA(5-)	(R)-methylmalonyl-CoA	methylmalonyl-CoA(5-)	methylmalonyl-CoA	$null$
3-hydroxy-4-methylanthranilate	an aromatic carboxylate	CHEBI:36558	CHEBI:16116	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3-hydroxy-4-methylanthranilate	3-hydroxy-4-methylanthranilic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
(S)-methylmalonyl-CoA	an acyl-CoA	CHEBI:57327	CHEBI:15466	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	(S)-methylmalonyl-CoA(5-)	(S)-methylmalonyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
(S)-methylmalonyl-CoA	methylmalonyl-CoA	CHEBI:57327	CHEBI:15466	CHEBI:59916	CHEBI:16625	left_incomplete	$null$	$null$	(S)-methylmalonyl-CoA(5-)	(S)-methylmalonyl-CoA	methylmalonyl-CoA(5-)	methylmalonyl-CoA	$null$
3-oxohexanoyl-CoA	a 3-oxo-fatty acyl-CoA	CHEBI:62418	CHEBI:27648	CHEBI:57347	CHEBI:15489	left_incomplete	$null$	$null$	3-oxohexanoyl-CoA(4-)	3-oxohexanoyl-CoA	3-oxo-fatty acyl-CoA(4-)	3-oxo-fatty acyl-CoA	$null$
3-oxohexanoyl-CoA	an acyl-CoA	CHEBI:62418	CHEBI:27648	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	3-oxohexanoyl-CoA(4-)	3-oxohexanoyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
2-dehydro-3-deoxy-L-arabinonate	a 2-oxocarboxylate	CHEBI:35173	CHEBI:17647	CHEBI:35179	CHEBI:35910	left_incomplete	$null$	$null$	2-dehydro-3-deoxy-L-arabinonate	2-dehydro-3-deoxy-L-arabinonic acid	2-oxo monocarboxylic acid anion	2-oxo monocarboxylic acid	$null$
2-dehydro-3-deoxy-L-arabinonate	a monocarboxylate	CHEBI:35173	CHEBI:17647	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	2-dehydro-3-deoxy-L-arabinonate	2-dehydro-3-deoxy-L-arabinonic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
3-hydroxyisovaleryl-CoA	a 3-hydroxy-fatty acyl-CoA	CHEBI:62555	CHEBI:28291	CHEBI:65102	CHEBI:20060	left_incomplete	$null$	$null$	3-hydroxyisovaleryl-CoA(4-)	3-hydroxyisovaleryl-CoA	3-hydroxy fatty acyl-CoA(4-)	3-hydroxy fatty acyl-CoA	$null$
3-oxohexanoyl-CoA	a fatty acyl-CoA	CHEBI:62418	CHEBI:27648	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	3-oxohexanoyl-CoA(4-)	3-oxohexanoyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
3-hydroxyisovaleryl-CoA	an acyl-CoA	CHEBI:62555	CHEBI:28291	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	3-hydroxyisovaleryl-CoA(4-)	3-hydroxyisovaleryl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
12-octadecanoyloxy-octadecanoate	a fatty acid	CHEBI:136330	CHEBI:137089	CHEBI:28868	CHEBI:35366	left_incomplete	$null$	$null$	12-(octadecanoyloxy)octadecanoate	12-(octadecanoyloxy)octadecanoic acid	fatty acid anion	fatty acid	$null$
12-octadecanoyloxy-octadecanoate	a long-chain fatty acid	CHEBI:136330	CHEBI:137089	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	12-(octadecanoyloxy)octadecanoate	12-(octadecanoyloxy)octadecanoic acid	long-chain fatty acid anion	long-chain fatty acid	$null$
12-octadecanoyloxy-octadecanoate	12-hydroxyoctadecanoate	CHEBI:136330	CHEBI:137089	CHEBI:84201	CHEBI:85208	left_incomplete	$null$	$null$	12-(octadecanoyloxy)octadecanoate	12-(octadecanoyloxy)octadecanoic acid	12-hydroxyoctadecanoate	12-hydroxyoctadecanoic acid	$null$
3-(4-methylpent-3-en-1-yl)pent-2-enedioyl-CoA	an acyl-CoA	CHEBI:57339	CHEBI:15480	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	3-(4-methylpent-3-en-1-yl)pent-2-enedioyl-CoA(5-)	3-(4-methylpent-3-en-1-yl)pent-2-enedioyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
3-hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA	an acyl-CoA	CHEBI:57341	CHEBI:15483	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	3-hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA(5-)	3-hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
